0	5	7	12	32	9	5	16	13	20	6	7	6	9	8	12	5	8	3	14	5	6	8	35	38	10	8	15	18	8	5	15	15	10	14	7	10	30	40	27	18	32	39	6	5	7	8	3	9	11
5	0	5	10	30	6	3	14	11	17	8	5	4	7	6	10	3	6	1	12	3	5	6	32	36	8	10	13	15	5	6	13	13	8	12	5	12	28	38	25	15	29	35	4	3	5	3	1	7	9
7	5	0	5	28	5	2	12	7	13	6	3	3	5	4	8	4	5	2	10	2	4	4	30	33	6	13	11	13	6	4	11	12	5	10	2	9	25	33	23	13	27	33	3	2	3	2	1	8	7
12	10	5	0	4	28	25	5	7	8	19	1	15	17	18	19	20	19	21	1	25	23	17	2	5	13	22	8	1	15	24	5	5	2	6	30	28	15	8	7	2	1	25	28	30	33	27	21	28	30
32	30	28	4	0	30	28	7	11	13	21	3	17	21	22	22	25	22	27	2	28	27	20	5	8	17	25	11	3	17	28	7	7	4	10	33	31	17	11	10	4	3	27	32	33	34	30	24	30	33
9	6	5	28	30	0	7	18	15	22	8	9	8	11	10	14	7	10	5	16	7	8	10	37	40	12	10	17	20	10	7	17	17	12	16	10	12	32	40	30	20	34	41	9	7	9	10	5	11	13
5	3	2	25	28	7	0	13	10	12	5	2	2	4	3	7	3	4	1	9	1	3	3	29	32	5	12	10	12	5	3	10	11	4	9	1	8	24	32	22	12	26	32	2	1	2	1	1	7	6
16	14	12	5	7	18	13	0	6	7	18	2	14	16	20	17	19	18	19	2	24	22	15	3	4	11	21	7	2	14	22	4	4	3	4	32	30	14	5	6	3	4	27	26	28	32	29	20	30	28
13	11	7	7	11	15	10	6	0	6	16	3	16	14	16	20	16	20	21	4	20	24	17	5	2	10	23	9	5	15	21	5	5	6	5	30	28	12	6	5	5	3	29	25	30	30	25	22	28	26
20	17	13	8	13	22	12	7	6	0	20	7	20	16	21	24	19	24	25	7	24	28	22	9	8	16	27	13	10	20	30	10	10	11	12	34	32	16	10	11	11	8	35	30	36	37	32	28	34	31
6	8	6	19	21	8	5	18	16	20	0	6	5	8	7	11	4	7	2	13	4	5	7	34	36	9	7	14	16	7	4	14	14	9	13	6	9	29	39	26	17	31	38	5	4	6	7	2	8	10
7	5	3	1	3	9	2	2	3	7	6	0	2	4	3	7	6	6	4	3	9	3	3	29	32	7	14	10	12	8	5	10	14	6	11	4	8	23	30	25	12	25	35	5	3	2	2	2	7	6
6	4	3	15	17	8	2	14	16	20	5	2	0	5	4	8	7	8	5	4	10	4	4	31	33	8	15	12	13	9	6	11	15	8	13	5	10	24	31	26	13	26	36	6	4	3	4	2	8	9
9	7	5	17	21	11	4	16	14	16	8	4	5	0	3	7	6	7	4	3	9	10	3	30	32	7	14	11	12	8	7	10	14	9	12	10	9	22	30	24	12	25	32	5	3	2	3	1	7	8
8	6	4	18	22	10	3	20	16	21	7	3	4	3	0	10	9	10	6	5	13	13	5	33	35	8	18	19	15	12	10	13	16	11	15	16	11	25	33	26	15	29	36	10	7	4	7	3	10	11
12	10	8	19	22	14	7	17	20	24	11	7	8	7	10	0	8	9	5	4	12	11	4	31	33	7	16	18	14	11	9	12	14	10	13	14	10	23	22	25	14	28	35	11	5	3	4	2	9	10
5	3	4	20	25	7	3	19	16	19	4	6	7	6	9	8	0	8	4	3	11	10	3	30	32	6	13	17	13	10	8	11	13	9	11	13	16	22	21	23	11	23	32	10	4	2	3	1	8	9
8	6	5	19	22	10	4	18	20	24	7	6	8	7	10	9	8	0	6	5	14	15	8	35	37	10	19	25	20	18	15	17	19	12	16	20	25	29	30	31	20	30	40	19	10	8	9	8	13	14
3	1	2	21	27	5	1	19	21	25	2	4	5	4	6	5	4	6	0	12	3	5	6	31	35	7	15	12	15	7	6	13	14	6	11	3	10	27	35	25	15	28	32	4	6	7	9	22	30	32
14	12	10	1	2	16	9	2	4	7	13	3	4	3	5	4	3	5	12	0	25	30	29	15	20	21	35	22	3	27	32	5	5	6	10	37	9	8	10	11	13	7	13	30	31	32	33	34	35	36
